Category,id,title,resource1,resource1_url,resource2,resource2_url,p1,p1_url,p2,p2_url,c1,c1_url,c2,c2_url,diff
Category: Data Structures,227,Merge Sort Tree,1,https://discuss.codechef.com/t/merge-sort-tree-tutorial/14277,,,1,https://codeforces.com/contest/1042/problem/D,,,,,,,1
Category: Data Structures,228,Wavelet Tree,1,https://codeforces.com/blog/entry/52854,,,1,https://www.spoj.com/problems/MKTHNUM/,,,code,https://github.com/ShahjalalShohag/code-library/tree/master/Data%20Structures,,,1
Category: Data Structures,229,Sparse Table,1,https://cp-algorithms.com/data_structures/sparse-table.html,,,1,https://cp-algorithms.com/data_structures/sparse-table.html#toc-tgt-5,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Sparse%20Table.cpp,,,1
Category: Data Structures,230,Disjoint Sparse Table,1,https://discuss.codechef.com/t/tutorial-disjoint-sparse-table/17404,,,1,https://www.codechef.com/problems/SEGPROD,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Disjoint%20Sparse%20Table.cpp,,,2
Category: Data Structures,231,Sparse Table 2D,1,https://codeforces.com/blog/entry/45485,,,1,https://www.codechef.com/problems/CENS20B,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/Sparse%20Table%202D.cpp,,,2
Category: Data Structures,232,BIT,1,https://cp-algorithms.com/data_structures/fenwick.html,,,1,https://cp-algorithms.com/data_structures/fenwick.html#toc-tgt-12,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/BIT.cpp,,,1
Category: Data Structures,233,Lower bound on BIT,1,https://codeforces.com/blog/entry/61364,,,1,https://acm.timus.ru/problem.aspx?space=1&num=1896,,,,,,,1
Category: Data Structures,234,BIT with Range Update and Range Query,1,https://cp-algorithms.com/data_structures/fenwick.html#toc-tgt-11,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/BIT%20with%20Range%20Update%20and%20Range%20Query.cpp,,,2
Category: Data Structures,235,2D BIT with Range Update and Range Query,,,,,,,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/BIT%202D%20with%20Range%20Update%20and%20Range%20Query.cpp,,,2
Category: Data Structures,236,MOs Algorithm,1,https://cp-algorithms.com/data_structures/sqrt_decomposition.html#toc-tgt-4,2,https://blog.anudeep2011.com/mos-algorithm/,1,https://codeforces.com/problemset/problem/617/E,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/MOs%20Algorithm.cpp,,,1
Category: Data Structures,237,MOs on Tree,1,https://codeforces.com/blog/entry/43230,,,1,https://www.spoj.com/problems/COT2/,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/MOs%20on%20tree.cpp,,,2
Category: Data Structures,238,MOs with Update,1,https://codeforces.com/blog/entry/44711?#comment-292040,2,https://codeforces.com/blog/entry/72690,1,https://codeforces.com/contest/940/problem/F,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/MOs%20with%20Update.cpp,,,2
Category: Data Structures,239,MOs Online,,,,,1,https://codeforces.com/contest/940/problem/F,,,code,https://github.com/ShahjalalShohag/code-library/blob/master/Data%20Structures/MOs%20Online.cpp,,,2
